BANCO,CONTA CORRENTE,FONTE DE RECURSO,PROGRAMAS E CONVÊNIOS,DESCRIÇÃO,SECRETARIA,N° SEI,OBSERVAÇÕES,RESPONSÁVEL
BANCO DO BRASIL,138628-X,31221,Transferência Especial,Emenda Parlamentar n° 202330920003 - Enio Verri - Espaços Culturais,SEMUC,PL Ação 09032023-035780 / 2023,"R$ 300.000,00",ERICK
BANCO DO BRASIL,138628-X,31222,Transferência Especial,Emenda Parlamentar n° 202340660001 - Sargento Fahur - Guarda Municipal e Defesa Civil,SSM,SEI EXECUÇÃO 62181/2023.49 SEI LICITAÇÃO 38240/2024.43 SEI Formalização 34034/2023.23,"PL Ação 09032023-038080 / 2023DEFESA CIVIL 407.253,00 //// GUARDA 50.000,00",CAMILA
BANCO DO BRASIL,138628-X,31241,Transferência Especial,Emenda Parlamentar n° 202330920003 - Enio Verri - Esporte e Lazer,SESP,SEI EXECUÇÃO 61738/2023.79 SEI LICITAÇÃO 3687/2024.29 SEI LICITAÇÃO 74540/2023.80,PL Ação 09032023-035780 / 2023 // 1000000,CAMILA
BANCO DO BRASIL,141591-3,1264,Transferência Especial,Emenda Parlamentar nº 202428490007 - Zeca Dirceu(salões comunitários),AMETRO,PL Ação 09032024-071513 / 2024,"R$ 200.000,00",ERICK
BANCO DO BRASIL,141592-1,1265,Transferência Especial,Emenda Parlamentar nº 202442770003 - Sergio Moro(aquisição de veículo e armamento),SECSSM,SEI EXECUÇÃO 65206/2024.45 SEI FORMALIZAÇÃO 37308/2024.86,"PL Ação 09032024-064843 // 500.000,00 (VEÍCULO E ARMAMENTO)",CLÁUDIA
BANCO DO BRASIL,141590-5,1266,Transferência Especial,Emenda Parlamentar nº 202440660015 - Sargento FAHUR(caminhão refrigerado p/ Empório),SETRAB,SEI EXECUÇÃO 66442/2024.41,"PL Ação 09032024-070455 // 300.000,00 (CAMINHÃO REFRIGERADO)",ERICK
BANCO DO BRASIL,141590-5,1266,Transferência Especial,Emenda Parlamentar nº 202440660015 - Sargento FAHUR (LIBRAS),SEPED,SEI EXECUÇÃO 66381/2024.39,"PL Ação 09032024-070455 // 250.000,00 (CUSTEIO – DEMANDA DA SECRETARIA – Contratação de Empresa Especializada Para Prestar Serviços de Intermediação, Interpretação e Tradução de Libras)",ERICK
BANCO DO BRASIL,141590-5,1266,Transferência Especial,Emenda Parlamentar nº 202440660015 - Sargento FAHUR,GAPRE,SEI EXECUÇÃO 66517/2024.53,"PL Ação 09032024-070455 //Aquisição de Equipamentos de Limpeza Para Distrito de Iguatemi - 100.000,00 (SOPRADOR DE GRAMA)",ERICK
BANCO DO BRASIL,141590-5,1266,Transferência Especial,Emenda Parlamentar nº 202440660015 - Sargento FAHUR,SEMOB,SEI EXECUÇÃO 66410/2024.32,"PL Ação 09032024-070455 // Aquisição de Equipamentos Elétricos Incapacitantes R$ 200.000,00",ERICK
BANCO DO BRASIL,141587-5,1276,Transferência Especial,Emenda Parlamentar nº 202428740001 - Luiz Nishimori,AMETRO/SESP,SEI EXECUÇÃO 67323/2024.19 // SEI EXECUÇÃO 92637/2024.03,"PL Ação 09032024-068079 // SESP - 110.000,00 Aquisição de Cadeiras de Rodas (Associação dos Kadeirantes) // AMETRO 90.000,00 - Centro Esportivo Jardim Paulista",CLÁUDIA
